Full name,Nicknames,Continent,Country,League,Founded_Date,Place,Season,Manager,Total_Matches,Goal_Scored,Goals_Scored_Matchday,Goals_Scored_Cumulative,Goals_Conceded,Goals_Conceded_Matchday,Goals_Conceded_Cumulative,Goal Difference,Field,Opposition,Result,Squad_Size,Cards_Yellow,Cards_Red,Squad_Value (Million Euros),Average_Age,Average_Weight,Average_Height,Best_Player_Name,Best_Player_Age,Best_Player_Goals,Best_Player_Score,Best_Player_Stats,Top_Scorer_Name,Top_Scorer_Age,Top_Scorer_Goals,Top_Scorer_Score,Top_Scorer_Stats,Has_Stadium,Stadium_Name,Stadium_Capacity,Logo_Url,Best_Player_Url
Bayern München,"Der FCB, Die Bayern, Stern des Südens, Die Roten, FC Hollywood",Europe,Germany,Bundesliga,1900-02-27,1,2018-2019,Niko Kovač,32,88,"3, 3, 3, 2, 1, 0, 0, 3, 2, 1, 2, 3, 2, 3, 4, 1, 3, 3, 4, 1, 3, 3, 1, 5, 6, 6, 1, 5, 4, 1, 1, 3, 0, 5","3, 6, 9, 11, 12, 12, 12, 15, 17, 18, 20, 23, 25, 28, 32, 33, 36, 39, 43, 44, 47, 50, 51, 56, 62, 68, 69, 74, 78, 79, 80, 83, 83, 88",32,"1, 0, 1, 0, 1, 2, 3, 1, 1, 1, 3, 3, 1, 0, 0, 0, 0, 1, 1, 3, 1, 2, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1","1, 1, 2, 2, 3, 5, 8, 9, 10, 11, 14, 17, 18, 18, 18, 18, 18, 19, 20, 23, 24, 26, 26, 27, 27, 27, 28, 28, 29, 29, 30, 31, 31, 32",56,"Home, Away, Home, Away, Home, Away, Home, Away, Away, Home, Away, Home, Away, Home, Away, Home, Away, Away, Home, Away, Home, Away, Home, Away, Home, Home, Away, Home, Away, Home, Away, Home, Away, Home","Hoffenheim, Stuttgart, Leverkusen, Schalke 04, Augsburg, Hertha, Mgladbach, Wolfsburg, Mainz, Freiburg, Dortmund, Fortuna Dusseldorf, Werder Bremen, Nurnberg, Hannover, RB Leipzig, Ein Frankfurt, Hoffenheim, Stuttgart, Leverkusen, Schalke 04, Augsburg, Hertha, Mgladbach, Wolfsburg, Mainz, Freiburg, Dortmund, Fortuna Dusseldorf, Werder Bremen, Nurnberg, Hannover, RB Leipzig, Ein Frankfurt","H, A, H, A, D, H, A, A, A, D, A, H, D, H, A, D, A, A, D, A, H, D, D, A, H, H, D, H, A, D, D, H, D, H",24,40,2,835.55,24.66,79.5,183.1666667,Robert Lewandowski,30,22,7.65,"81, 86, 88, 38, 72, 82",Robert Lewandowski,30,22,7.65,"81, 86, 88, 38, 72, 82",TRUE,Allianz Arena,75000,https://raw.githubusercontent.com/Felipe-Assis/Data-Visualization/master/Soccer/bayern_logo.svg,https://raw.githubusercontent.com/Felipe-Assis/Data-Visualization/master/Soccer/bayern_1819_best_player.svg
Bayern München,"Der FCB, Die Bayern, Stern des Südens, Die Roten, FC Hollywood",Europe,Germany,Bundesliga,1900-02-27,1,2017-2018,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,Allianz Arena,75000,https://raw.githubusercontent.com/Felipe-Assis/Data-Visualization/master/Soccer/bayern_logo.svg,
Bayern München,"Der FCB, Die Bayern, Stern des Südens, Die Roten, FC Hollywood",Europe,Germany,Bundesliga,1900-02-27,1,2016-2017,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,Allianz Arena,75000,https://raw.githubusercontent.com/Felipe-Assis/Data-Visualization/master/Soccer/bayern_logo.svg,
Bayern München,"Der FCB, Die Bayern, Stern des Südens, Die Roten, FC Hollywood",Europe,Germany,Bundesliga,1900-02-27,1,2015-2016,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,Allianz Arena,75000,https://raw.githubusercontent.com/Felipe-Assis/Data-Visualization/master/Soccer/bayern_logo.svg,
Bayern München,"Der FCB, Die Bayern, Stern des Südens, Die Roten, FC Hollywood",Europe,Germany,Bundesliga,1900-02-27,1,2014-2015,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,Allianz Arena,75000,https://raw.githubusercontent.com/Felipe-Assis/Data-Visualization/master/Soccer/bayern_logo.svg,
Manchester City,"Citizens, Sky Blues, City",Europe,England,Premier League,1894-04-16,1,2018-2019,Pep Guardiola,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,Etihad Stadium,61000,,
Manchester City,"Citizens, Sky Blues, City",Europe,England,Premier League,1894-04-16,1,2017-2018,Pep Guardiola,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chelsea,,Europe,England,Premier League,,,2016-2017,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leicester,,Europe,England,Premier League,,,2015-2016,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chelsea,,Europe,England,Premier League,,,2014-2015,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juventus,,Europe,Italy,Seria A,,,2018-2019,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juventus,,Europe,Italy,Seria A,,,2017-2018,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juventus,,Europe,Italy,Seria A,,,2016-2017,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juventus,,Europe,Italy,Seria A,,,2015-2016,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juventus,,Europe,Italy,Seria A,,,2014-2015,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barcelona,,Europe,Spain,La Liga,,,2018-2019,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barcelona,,Europe,Spain,La Liga,,,2017-2018,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real Madrid,,Europe,Spain,La Liga,,,2016-2017,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barcelona,,Europe,Spain,La Liga,,,2015-2016,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barcelona,,Europe,Spain,La Liga,,,2014-2015,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paris Saint Germain,,Europe,France,Ligue 1,,,2018-2019,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paris Saint Germain,,Europe,France,Ligue 1,,,2017-2018,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monaco,,Europe,France,Ligue 1,,,2016-2017,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paris Saint Germain,,Europe,France,Ligue 1,,,2015-2016,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paris Saint Germain,,Europe,France,Ligue 1,,,2014-2015,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palmeiras,,South America,Brazil,Brasileirão,,,2018,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corinthians,,South America,Brazil,Brasileirão,,,2017,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palmeiras,,South America,Brazil,Brasileirão,,,2016,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corinthians,,South America,Brazil,Brasileirão,,,2015,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruzeiro,,South America,Brazil,Brasileirão,,,2014,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
